"date","location","value"
"2020-04-26","Wallonia",47
"2020-04-27","Belgium",126
"2020-04-27","Brussels",19
"2020-04-27","Flanders",65
"2020-04-27","Wallonia",42
"2020-04-28","Belgium",115
"2020-04-28","Brussels",15
"2020-04-28","Flanders",55
"2020-04-28","Wallonia",45
"2020-04-29","Belgium",98
"2020-04-29","Brussels",9
"2020-04-29","Flanders",53
"2020-04-29","Wallonia",36
"2020-04-30","Belgium",84
"2020-04-30","Brussels",16
"2020-04-30","Flanders",37
"2020-04-30","Wallonia",31
"2020-05-01","Belgium",97
"2020-05-01","Brussels",14
"2020-05-01","Flanders",51
"2020-05-01","Wallonia",32
"2020-05-02","Belgium",73
"2020-05-02","Brussels",12
"2020-05-02","Flanders",36
"2020-05-02","Wallonia",25
"2020-05-03","Belgium",96
"2020-05-03","Brussels",12
"2020-05-03","Flanders",48
"2020-05-03","Wallonia",36
"2020-05-04","Belgium",97
"2020-05-04","Brussels",18
"2020-05-04","Flanders",44
"2020-05-04","Wallonia",35
"2020-05-05","Belgium",81
"2020-05-05","Brussels",7
"2020-05-05","Flanders",43
"2020-05-05","Wallonia",31
"2020-05-06","Belgium",75
"2020-05-06","Brussels",7
"2020-05-06","Flanders",51
"2020-05-06","Wallonia",17
"2020-05-07","Belgium",78
"2020-05-07","Brussels",6
"2020-05-07","Flanders",46
"2020-05-07","Wallonia",26
"2020-05-08","Belgium",70
"2020-05-08","Brussels",10
"2020-05-08","Flanders",35
"2020-05-08","Wallonia",25
"2020-05-09","Belgium",70
"2020-05-09","Brussels",18
"2020-05-09","Flanders",31
"2020-05-09","Wallonia",21
"2020-05-10","Belgium",73
"2020-05-10","Brussels",4
"2020-05-10","Flanders",44
"2020-05-10","Wallonia",25
"2020-05-11","Belgium",62
"2020-05-11","Brussels",7
"2020-05-11","Flanders",33
"2020-05-11","Wallonia",22
"2020-05-12","Belgium",48
"2020-05-12","Brussels",7
"2020-05-12","Flanders",23
"2020-05-12","Wallonia",18
"2020-05-13","Belgium",54
"2020-05-13","Brussels",8
"2020-05-13","Flanders",26
"2020-05-13","Wallonia",20
"2020-05-14","Belgium",46
"2020-05-14","Brussels",8
"2020-05-14","Flanders",23
"2020-05-14","Wallonia",15
"2020-05-15","Belgium",36
"2020-05-15","Brussels",7
"2020-05-15","Flanders",21
"2020-05-15","Wallonia",8
"2020-05-16","Belgium",28
"2020-05-16","Brussels",6
"2020-05-16","Flanders",13
"2020-05-16","Wallonia",9
"2020-05-17","Belgium",35
"2020-05-17","Brussels",4
"2020-05-17","Flanders",21
"2020-05-17","Wallonia",10
"2020-05-18","Belgium",36
"2020-05-18","Brussels",2
"2020-05-18","Flanders",21
"2020-05-18","Wallonia",13
"2020-05-19","Belgium",28
"2020-05-19","Brussels",3
"2020-05-19","Flanders",15
"2020-05-19","Wallonia",10
"2020-05-20","Belgium",23
"2020-05-20","Brussels",2
"2020-05-20","Flanders",14
"2020-05-20","Wallonia",7
"2020-05-21","Belgium",2
"2020-05-21","Brussels",1
"2020-05-21","Wallonia",1
