"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-04-18","1 day ahead inc death",2020-04-19,"Belgium","point",NA,290.439
"2020-04-18","2 day ahead inc death",2020-04-20,"Belgium","point",NA,273.974
"2020-04-18","3 day ahead inc death",2020-04-21,"Belgium","point",NA,255.843
"2020-04-18","4 day ahead inc death",2020-04-22,"Belgium","point",NA,236.462
"2020-04-18","5 day ahead inc death",2020-04-23,"Belgium","point",NA,216.136
"2020-04-18","6 day ahead inc death",2020-04-24,"Belgium","point",NA,195.446
"2020-04-18","7 day ahead inc death",2020-04-25,"Belgium","point",NA,174.779
"2020-04-18","8 day ahead inc death",2020-04-26,"Belgium","point",NA,154.516
"2020-04-18","9 day ahead inc death",2020-04-27,"Belgium","point",NA,135.047
"2020-04-18","10 day ahead inc death",2020-04-28,"Belgium","point",NA,116.611
"2020-04-18","11 day ahead inc death",2020-04-29,"Belgium","point",NA,99.499
"2020-04-18","12 day ahead inc death",2020-04-30,"Belgium","point",NA,83.877
"2020-04-18","13 day ahead inc death",2020-05-01,"Belgium","point",NA,69.819
"2020-04-18","14 day ahead inc death",2020-05-02,"Belgium","point",NA,57.385
"2020-04-18","15 day ahead inc death",2020-05-03,"Belgium","point",NA,46.556
"2020-04-18","16 day ahead inc death",2020-05-04,"Belgium","point",NA,37.262
"2020-04-18","17 day ahead inc death",2020-05-05,"Belgium","point",NA,29.438
"2020-04-18","18 day ahead inc death",2020-05-06,"Belgium","point",NA,22.888
"2020-04-18","19 day ahead inc death",2020-05-07,"Belgium","point",NA,17.571
"2020-04-18","20 day ahead inc death",2020-05-08,"Belgium","point",NA,13.291
"2020-04-18","21 day ahead inc death",2020-05-09,"Belgium","point",NA,9.921
"2020-04-18","22 day ahead inc death",2020-05-10,"Belgium","point",NA,7.282
"2020-04-18","23 day ahead inc death",2020-05-11,"Belgium","point",NA,5.303
"2020-04-18","24 day ahead inc death",2020-05-12,"Belgium","point",NA,3.798
"2020-04-18","25 day ahead inc death",2020-05-13,"Belgium","point",NA,2.678
"2020-04-18","26 day ahead inc death",2020-05-14,"Belgium","point",NA,1.866
"2020-04-18","27 day ahead inc death",2020-05-15,"Belgium","point",NA,1.261
"2020-04-18","28 day ahead inc death",2020-05-16,"Belgium","point",NA,0.829
"2020-04-18","1 day ahead inc death",2020-04-19,"Belgium","quantile",0.025,42.975
"2020-04-18","2 day ahead inc death",2020-04-20,"Belgium","quantile",0.025,42
"2020-04-18","3 day ahead inc death",2020-04-21,"Belgium","quantile",0.025,41
"2020-04-18","4 day ahead inc death",2020-04-22,"Belgium","quantile",0.025,39.975
"2020-04-18","5 day ahead inc death",2020-04-23,"Belgium","quantile",0.025,38.975
"2020-04-18","6 day ahead inc death",2020-04-24,"Belgium","quantile",0.025,37
"2020-04-18","7 day ahead inc death",2020-04-25,"Belgium","quantile",0.025,34.975
"2020-04-18","8 day ahead inc death",2020-04-26,"Belgium","quantile",0.025,32
"2020-04-18","9 day ahead inc death",2020-04-27,"Belgium","quantile",0.025,29
"2020-04-18","10 day ahead inc death",2020-04-28,"Belgium","quantile",0.025,25.975
"2020-04-18","11 day ahead inc death",2020-04-29,"Belgium","quantile",0.025,22
"2020-04-18","12 day ahead inc death",2020-04-30,"Belgium","quantile",0.025,18
"2020-04-18","13 day ahead inc death",2020-05-01,"Belgium","quantile",0.025,15
"2020-04-18","14 day ahead inc death",2020-05-02,"Belgium","quantile",0.025,12
"2020-04-18","15 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,9
"2020-04-18","16 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,7
"2020-04-18","17 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,5
"2020-04-18","18 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,4
"2020-04-18","19 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,3
"2020-04-18","20 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,2
"2020-04-18","21 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,2
"2020-04-18","22 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,1
"2020-04-18","23 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,1
"2020-04-18","24 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,1
"2020-04-18","25 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,0
"2020-04-18","26 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,0
"2020-04-18","27 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,0
"2020-04-18","28 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,0
"2020-04-18","1 day ahead inc death",2020-04-19,"Belgium","quantile",0.975,995.125
"2020-04-18","2 day ahead inc death",2020-04-20,"Belgium","quantile",0.975,923.125
"2020-04-18","3 day ahead inc death",2020-04-21,"Belgium","quantile",0.975,850
"2020-04-18","4 day ahead inc death",2020-04-22,"Belgium","quantile",0.975,772.1
"2020-04-18","5 day ahead inc death",2020-04-23,"Belgium","quantile",0.975,686.25
"2020-04-18","6 day ahead inc death",2020-04-24,"Belgium","quantile",0.975,610.25
"2020-04-18","7 day ahead inc death",2020-04-25,"Belgium","quantile",0.975,539.225
"2020-04-18","8 day ahead inc death",2020-04-26,"Belgium","quantile",0.975,472.2
"2020-04-18","9 day ahead inc death",2020-04-27,"Belgium","quantile",0.975,410.05
"2020-04-18","10 day ahead inc death",2020-04-28,"Belgium","quantile",0.975,352.025
"2020-04-18","11 day ahead inc death",2020-04-29,"Belgium","quantile",0.975,299.075
"2020-04-18","12 day ahead inc death",2020-04-30,"Belgium","quantile",0.975,253.1
"2020-04-18","13 day ahead inc death",2020-05-01,"Belgium","quantile",0.975,214.075
"2020-04-18","14 day ahead inc death",2020-05-02,"Belgium","quantile",0.975,180.025
"2020-04-18","15 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,149.025
"2020-04-18","16 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,122
"2020-04-18","17 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,98.025
"2020-04-18","18 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,76.025
"2020-04-18","19 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,58.05
"2020-04-18","20 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,45
"2020-04-18","21 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,33.025
"2020-04-18","22 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,25
"2020-04-18","23 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,18
"2020-04-18","24 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,13
"2020-04-18","25 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,9
"2020-04-18","26 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,6
"2020-04-18","27 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,4
"2020-04-18","28 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,3
"2020-04-18","1 wk ahead inc death",2020-04-19,"Belgium","point",NA,1643.079
"2020-04-18","2 wk ahead inc death",2020-04-26,"Belgium","point",NA,716.754
"2020-04-18","3 wk ahead inc death",2020-05-03,"Belgium","point",NA,176.927
"2020-04-18","4 wk ahead inc death",2020-05-10,"Belgium","point",NA,23.017
"2020-04-18","1 wk ahead inc death",2020-04-19,"Belgium","quantile",0.025,276.9
"2020-04-18","2 wk ahead inc death",2020-04-26,"Belgium","quantile",0.025,153.975
"2020-04-18","3 wk ahead inc death",2020-05-03,"Belgium","quantile",0.025,32
"2020-04-18","4 wk ahead inc death",2020-05-10,"Belgium","quantile",0.025,3
"2020-04-18","1 wk ahead inc death",2020-04-19,"Belgium","quantile",0.975,5376.075
"2020-04-18","2 wk ahead inc death",2020-04-26,"Belgium","quantile",0.975,2180.55
"2020-04-18","3 wk ahead inc death",2020-05-03,"Belgium","quantile",0.975,581.15
"2020-04-18","4 wk ahead inc death",2020-05-10,"Belgium","quantile",0.975,78
