"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-05-23","1 day ahead inc death",2020-05-24,"Belgium","point",NA,48.232
"2020-05-23","2 day ahead inc death",2020-05-25,"Belgium","point",NA,45.976
"2020-05-23","3 day ahead inc death",2020-05-26,"Belgium","point",NA,43.586
"2020-05-23","4 day ahead inc death",2020-05-27,"Belgium","point",NA,40.981
"2020-05-23","5 day ahead inc death",2020-05-28,"Belgium","point",NA,38.507
"2020-05-23","6 day ahead inc death",2020-05-29,"Belgium","point",NA,36.609
"2020-05-23","7 day ahead inc death",2020-05-30,"Belgium","point",NA,35.222
"2020-05-23","8 day ahead inc death",2020-05-31,"Belgium","point",NA,34.248
"2020-05-23","9 day ahead inc death",2020-06-01,"Belgium","point",NA,33.402
"2020-05-23","10 day ahead inc death",2020-06-02,"Belgium","point",NA,32.377
"2020-05-23","11 day ahead inc death",2020-06-03,"Belgium","point",NA,31.118
"2020-05-23","12 day ahead inc death",2020-06-04,"Belgium","point",NA,29.744
"2020-05-23","13 day ahead inc death",2020-06-05,"Belgium","point",NA,28.288
"2020-05-23","14 day ahead inc death",2020-06-06,"Belgium","point",NA,26.769
"2020-05-23","15 day ahead inc death",2020-06-07,"Belgium","point",NA,25.308
"2020-05-23","16 day ahead inc death",2020-06-08,"Belgium","point",NA,23.958
"2020-05-23","17 day ahead inc death",2020-06-09,"Belgium","point",NA,22.661
"2020-05-23","18 day ahead inc death",2020-06-10,"Belgium","point",NA,21.384
"2020-05-23","19 day ahead inc death",2020-06-11,"Belgium","point",NA,20.179
"2020-05-23","20 day ahead inc death",2020-06-12,"Belgium","point",NA,18.978
"2020-05-23","21 day ahead inc death",2020-06-13,"Belgium","point",NA,17.749
"2020-05-23","22 day ahead inc death",2020-06-14,"Belgium","point",NA,16.51
"2020-05-23","23 day ahead inc death",2020-06-15,"Belgium","point",NA,15.389
"2020-05-23","24 day ahead inc death",2020-06-16,"Belgium","point",NA,14.374
"2020-05-23","25 day ahead inc death",2020-06-17,"Belgium","point",NA,13.426
"2020-05-23","26 day ahead inc death",2020-06-18,"Belgium","point",NA,12.525
"2020-05-23","27 day ahead inc death",2020-06-19,"Belgium","point",NA,11.715
"2020-05-23","28 day ahead inc death",2020-06-20,"Belgium","point",NA,10.957
"2020-05-23","1 day ahead inc death",2020-05-24,"Belgium","quantile",0.025,27
"2020-05-23","2 day ahead inc death",2020-05-25,"Belgium","quantile",0.025,25
"2020-05-23","3 day ahead inc death",2020-05-26,"Belgium","quantile",0.025,23
"2020-05-23","4 day ahead inc death",2020-05-27,"Belgium","quantile",0.025,21
"2020-05-23","5 day ahead inc death",2020-05-28,"Belgium","quantile",0.025,20
"2020-05-23","6 day ahead inc death",2020-05-29,"Belgium","quantile",0.025,19
"2020-05-23","7 day ahead inc death",2020-05-30,"Belgium","quantile",0.025,18
"2020-05-23","8 day ahead inc death",2020-05-31,"Belgium","quantile",0.025,16.975
"2020-05-23","9 day ahead inc death",2020-06-01,"Belgium","quantile",0.025,16
"2020-05-23","10 day ahead inc death",2020-06-02,"Belgium","quantile",0.025,14
"2020-05-23","11 day ahead inc death",2020-06-03,"Belgium","quantile",0.025,13
"2020-05-23","12 day ahead inc death",2020-06-04,"Belgium","quantile",0.025,12
"2020-05-23","13 day ahead inc death",2020-06-05,"Belgium","quantile",0.025,11.975
"2020-05-23","14 day ahead inc death",2020-06-06,"Belgium","quantile",0.025,11
"2020-05-23","15 day ahead inc death",2020-06-07,"Belgium","quantile",0.025,10
"2020-05-23","16 day ahead inc death",2020-06-08,"Belgium","quantile",0.025,9
"2020-05-23","17 day ahead inc death",2020-06-09,"Belgium","quantile",0.025,8
"2020-05-23","18 day ahead inc death",2020-06-10,"Belgium","quantile",0.025,8
"2020-05-23","19 day ahead inc death",2020-06-11,"Belgium","quantile",0.025,7
"2020-05-23","20 day ahead inc death",2020-06-12,"Belgium","quantile",0.025,6
"2020-05-23","21 day ahead inc death",2020-06-13,"Belgium","quantile",0.025,6
"2020-05-23","22 day ahead inc death",2020-06-14,"Belgium","quantile",0.025,5
"2020-05-23","23 day ahead inc death",2020-06-15,"Belgium","quantile",0.025,5
"2020-05-23","24 day ahead inc death",2020-06-16,"Belgium","quantile",0.025,4
"2020-05-23","25 day ahead inc death",2020-06-17,"Belgium","quantile",0.025,4
"2020-05-23","26 day ahead inc death",2020-06-18,"Belgium","quantile",0.025,3
"2020-05-23","27 day ahead inc death",2020-06-19,"Belgium","quantile",0.025,3
"2020-05-23","28 day ahead inc death",2020-06-20,"Belgium","quantile",0.025,3
"2020-05-23","1 day ahead inc death",2020-05-24,"Belgium","quantile",0.975,90
"2020-05-23","2 day ahead inc death",2020-05-25,"Belgium","quantile",0.975,85
"2020-05-23","3 day ahead inc death",2020-05-26,"Belgium","quantile",0.975,78.025
"2020-05-23","4 day ahead inc death",2020-05-27,"Belgium","quantile",0.975,74
"2020-05-23","5 day ahead inc death",2020-05-28,"Belgium","quantile",0.975,69.025
"2020-05-23","6 day ahead inc death",2020-05-29,"Belgium","quantile",0.975,66.025
"2020-05-23","7 day ahead inc death",2020-05-30,"Belgium","quantile",0.975,65
"2020-05-23","8 day ahead inc death",2020-05-31,"Belgium","quantile",0.975,64
"2020-05-23","9 day ahead inc death",2020-06-01,"Belgium","quantile",0.975,63.025
"2020-05-23","10 day ahead inc death",2020-06-02,"Belgium","quantile",0.975,61.025
"2020-05-23","11 day ahead inc death",2020-06-03,"Belgium","quantile",0.975,59
"2020-05-23","12 day ahead inc death",2020-06-04,"Belgium","quantile",0.975,56
"2020-05-23","13 day ahead inc death",2020-06-05,"Belgium","quantile",0.975,54
"2020-05-23","14 day ahead inc death",2020-06-06,"Belgium","quantile",0.975,51
"2020-05-23","15 day ahead inc death",2020-06-07,"Belgium","quantile",0.975,48.025
"2020-05-23","16 day ahead inc death",2020-06-08,"Belgium","quantile",0.975,46
"2020-05-23","17 day ahead inc death",2020-06-09,"Belgium","quantile",0.975,43.025
"2020-05-23","18 day ahead inc death",2020-06-10,"Belgium","quantile",0.975,42
"2020-05-23","19 day ahead inc death",2020-06-11,"Belgium","quantile",0.975,40.025
"2020-05-23","20 day ahead inc death",2020-06-12,"Belgium","quantile",0.975,38.025
"2020-05-23","21 day ahead inc death",2020-06-13,"Belgium","quantile",0.975,36
"2020-05-23","22 day ahead inc death",2020-06-14,"Belgium","quantile",0.975,33.025
"2020-05-23","23 day ahead inc death",2020-06-15,"Belgium","quantile",0.975,31
"2020-05-23","24 day ahead inc death",2020-06-16,"Belgium","quantile",0.975,29
"2020-05-23","25 day ahead inc death",2020-06-17,"Belgium","quantile",0.975,27.025
"2020-05-23","26 day ahead inc death",2020-06-18,"Belgium","quantile",0.975,26.025
"2020-05-23","27 day ahead inc death",2020-06-19,"Belgium","quantile",0.975,24.025
"2020-05-23","28 day ahead inc death",2020-06-20,"Belgium","quantile",0.975,23.025
"2020-05-23","1 wk ahead inc death",2020-05-24,"Belgium","point",NA,289.113
"2020-05-23","2 wk ahead inc death",2020-05-31,"Belgium","point",NA,215.946
"2020-05-23","3 wk ahead inc death",2020-06-07,"Belgium","point",NA,150.217
"2020-05-23","4 wk ahead inc death",2020-06-14,"Belgium","point",NA,94.896
"2020-05-23","1 wk ahead inc death",2020-05-24,"Belgium","quantile",0.025,153
"2020-05-23","2 wk ahead inc death",2020-05-31,"Belgium","quantile",0.025,94.95
"2020-05-23","3 wk ahead inc death",2020-06-07,"Belgium","quantile",0.025,54
"2020-05-23","4 wk ahead inc death",2020-06-14,"Belgium","quantile",0.025,27
"2020-05-23","1 wk ahead inc death",2020-05-24,"Belgium","quantile",0.975,527.075
"2020-05-23","2 wk ahead inc death",2020-05-31,"Belgium","quantile",0.975,408.05
"2020-05-23","3 wk ahead inc death",2020-06-07,"Belgium","quantile",0.975,293.1
"2020-05-23","4 wk ahead inc death",2020-06-14,"Belgium","quantile",0.975,193.125
