"forecast_date","target","target_end_date","location","type","quantile","value"
2020-05-02,"1 day ahead inc death",2020-05-03,"Belgium","point",NA,121.142857142857
2020-05-02,"2 day ahead inc death",2020-05-04,"Belgium","point",NA,121.142857142857
2020-05-02,"3 day ahead inc death",2020-05-05,"Belgium","point",NA,121.142857142857
2020-05-02,"4 day ahead inc death",2020-05-06,"Belgium","point",NA,121.142857142857
2020-05-02,"5 day ahead inc death",2020-05-07,"Belgium","point",NA,121.142857142857
2020-05-02,"6 day ahead inc death",2020-05-08,"Belgium","point",NA,121.142857142857
2020-05-02,"7 day ahead inc death",2020-05-09,"Belgium","point",NA,121.142857142857
2020-05-02,"8 day ahead inc death",2020-05-10,"Belgium","point",NA,121.142857142857
2020-05-02,"9 day ahead inc death",2020-05-11,"Belgium","point",NA,121.142857142857
2020-05-02,"10 day ahead inc death",2020-05-12,"Belgium","point",NA,121.142857142857
2020-05-02,"11 day ahead inc death",2020-05-13,"Belgium","point",NA,121.142857142857
2020-05-02,"12 day ahead inc death",2020-05-14,"Belgium","point",NA,121.142857142857
2020-05-02,"13 day ahead inc death",2020-05-15,"Belgium","point",NA,121.142857142857
2020-05-02,"14 day ahead inc death",2020-05-16,"Belgium","point",NA,121.142857142857
2020-05-02,"15 day ahead inc death",2020-05-17,"Belgium","point",NA,121.142857142857
2020-05-02,"16 day ahead inc death",2020-05-18,"Belgium","point",NA,121.142857142857
2020-05-02,"17 day ahead inc death",2020-05-19,"Belgium","point",NA,121.142857142857
2020-05-02,"18 day ahead inc death",2020-05-20,"Belgium","point",NA,121.142857142857
2020-05-02,"19 day ahead inc death",2020-05-21,"Belgium","point",NA,121.142857142857
2020-05-02,"20 day ahead inc death",2020-05-22,"Belgium","point",NA,121.142857142857
2020-05-02,"21 day ahead inc death",2020-05-23,"Belgium","point",NA,121.142857142857
2020-05-02,"22 day ahead inc death",2020-05-24,"Belgium","point",NA,121.142857142857
2020-05-02,"23 day ahead inc death",2020-05-25,"Belgium","point",NA,121.142857142857
2020-05-02,"24 day ahead inc death",2020-05-26,"Belgium","point",NA,121.142857142857
2020-05-02,"25 day ahead inc death",2020-05-27,"Belgium","point",NA,121.142857142857
2020-05-02,"26 day ahead inc death",2020-05-28,"Belgium","point",NA,121.142857142857
2020-05-02,"27 day ahead inc death",2020-05-29,"Belgium","point",NA,121.142857142857
2020-05-02,"28 day ahead inc death",2020-05-30,"Belgium","point",NA,121.142857142857
2020-05-02,"1 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"2 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"3 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"4 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"5 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"6 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"7 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"8 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"9 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"10 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"11 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"12 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"13 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"14 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"15 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"16 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"17 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"18 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"19 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"20 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"21 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"22 day ahead inc death",2020-05-24,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"23 day ahead inc death",2020-05-25,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"24 day ahead inc death",2020-05-26,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"25 day ahead inc death",2020-05-27,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"26 day ahead inc death",2020-05-28,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"27 day ahead inc death",2020-05-29,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"28 day ahead inc death",2020-05-30,"Belgium","quantile",0.025,121.142857142857
2020-05-02,"1 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"2 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"3 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"4 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"5 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"6 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"7 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"8 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"9 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"10 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"11 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,121.142857142857
2020-05-02,"12 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,121.142857142857
