"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-05-18","1 day ahead inc death",2020-05-19,"Belgium","point",NA,52
"2020-05-18","2 day ahead inc death",2020-05-20,"Belgium","point",NA,50
"2020-05-18","3 day ahead inc death",2020-05-21,"Belgium","point",NA,47
"2020-05-18","4 day ahead inc death",2020-05-22,"Belgium","point",NA,45
"2020-05-18","5 day ahead inc death",2020-05-23,"Belgium","point",NA,43
"2020-05-18","6 day ahead inc death",2020-05-24,"Belgium","point",NA,41
"2020-05-18","7 day ahead inc death",2020-05-25,"Belgium","point",NA,39
"2020-05-18","8 day ahead inc death",2020-05-26,"Belgium","point",NA,37
"2020-05-18","9 day ahead inc death",2020-05-27,"Belgium","point",NA,35
"2020-05-18","10 day ahead inc death",2020-05-28,"Belgium","point",NA,33
"2020-05-18","11 day ahead inc death",2020-05-29,"Belgium","point",NA,32
"2020-05-18","12 day ahead inc death",2020-05-30,"Belgium","point",NA,30
"2020-05-18","13 day ahead inc death",2020-05-31,"Belgium","point",NA,29
"2020-05-18","14 day ahead inc death",2020-06-01,"Belgium","point",NA,28
"2020-05-18","15 day ahead inc death",2020-06-02,"Belgium","point",NA,27
"2020-05-18","16 day ahead inc death",2020-06-03,"Belgium","point",NA,26
"2020-05-18","17 day ahead inc death",2020-06-04,"Belgium","point",NA,25
"2020-05-18","18 day ahead inc death",2020-06-05,"Belgium","point",NA,24
"2020-05-18","19 day ahead inc death",2020-06-06,"Belgium","point",NA,23
"2020-05-18","20 day ahead inc death",2020-06-07,"Belgium","point",NA,22
"2020-05-18","21 day ahead inc death",2020-06-08,"Belgium","point",NA,21
"2020-05-18","22 day ahead inc death",2020-06-09,"Belgium","point",NA,21
"2020-05-18","23 day ahead inc death",2020-06-10,"Belgium","point",NA,20
"2020-05-18","24 day ahead inc death",2020-06-11,"Belgium","point",NA,20
"2020-05-18","25 day ahead inc death",2020-06-12,"Belgium","point",NA,19
"2020-05-18","26 day ahead inc death",2020-06-13,"Belgium","point",NA,18
"2020-05-18","27 day ahead inc death",2020-06-14,"Belgium","point",NA,18
"2020-05-18","28 day ahead inc death",2020-06-15,"Belgium","point",NA,17
"2020-05-18","1 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,19
"2020-05-18","2 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,17
"2020-05-18","3 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,16
"2020-05-18","4 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,15
"2020-05-18","5 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,14
"2020-05-18","6 day ahead inc death",2020-05-24,"Belgium","quantile",0.025,13
"2020-05-18","7 day ahead inc death",2020-05-25,"Belgium","quantile",0.025,12
"2020-05-18","8 day ahead inc death",2020-05-26,"Belgium","quantile",0.025,11
"2020-05-18","9 day ahead inc death",2020-05-27,"Belgium","quantile",0.025,10
"2020-05-18","10 day ahead inc death",2020-05-28,"Belgium","quantile",0.025,9
"2020-05-18","11 day ahead inc death",2020-05-29,"Belgium","quantile",0.025,9
"2020-05-18","12 day ahead inc death",2020-05-30,"Belgium","quantile",0.025,8
"2020-05-18","13 day ahead inc death",2020-05-31,"Belgium","quantile",0.025,8
"2020-05-18","14 day ahead inc death",2020-06-01,"Belgium","quantile",0.025,7
"2020-05-18","15 day ahead inc death",2020-06-02,"Belgium","quantile",0.025,7
"2020-05-18","16 day ahead inc death",2020-06-03,"Belgium","quantile",0.025,6
"2020-05-18","17 day ahead inc death",2020-06-04,"Belgium","quantile",0.025,6
"2020-05-18","18 day ahead inc death",2020-06-05,"Belgium","quantile",0.025,5
"2020-05-18","19 day ahead inc death",2020-06-06,"Belgium","quantile",0.025,5
"2020-05-18","20 day ahead inc death",2020-06-07,"Belgium","quantile",0.025,5
"2020-05-18","21 day ahead inc death",2020-06-08,"Belgium","quantile",0.025,4
"2020-05-18","22 day ahead inc death",2020-06-09,"Belgium","quantile",0.025,4
"2020-05-18","23 day ahead inc death",2020-06-10,"Belgium","quantile",0.025,4
"2020-05-18","24 day ahead inc death",2020-06-11,"Belgium","quantile",0.025,4
"2020-05-18","25 day ahead inc death",2020-06-12,"Belgium","quantile",0.025,4
"2020-05-18","26 day ahead inc death",2020-06-13,"Belgium","quantile",0.025,3
"2020-05-18","27 day ahead inc death",2020-06-14,"Belgium","quantile",0.025,3
"2020-05-18","28 day ahead inc death",2020-06-15,"Belgium","quantile",0.025,3
"2020-05-18","1 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,99
"2020-05-18","2 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,95
"2020-05-18","3 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,91
"2020-05-18","4 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,88
"2020-05-18","5 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,84
"2020-05-18","6 day ahead inc death",2020-05-24,"Belgium","quantile",0.975,81
"2020-05-18","7 day ahead inc death",2020-05-25,"Belgium","quantile",0.975,78
"2020-05-18","8 day ahead inc death",2020-05-26,"Belgium","quantile",0.975,75
"2020-05-18","9 day ahead inc death",2020-05-27,"Belgium","quantile",0.975,73
