"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-04-27","1 day ahead inc death",2020-04-28,"Belgium","point",NA,177
"2020-04-27","2 day ahead inc death",2020-04-29,"Belgium","point",NA,170
"2020-04-27","3 day ahead inc death",2020-04-30,"Belgium","point",NA,163
"2020-04-27","4 day ahead inc death",2020-05-01,"Belgium","point",NA,157
"2020-04-27","5 day ahead inc death",2020-05-02,"Belgium","point",NA,150
"2020-04-27","6 day ahead inc death",2020-05-03,"Belgium","point",NA,144
"2020-04-27","7 day ahead inc death",2020-05-04,"Belgium","point",NA,139
"2020-04-27","8 day ahead inc death",2020-05-05,"Belgium","point",NA,133
"2020-04-27","9 day ahead inc death",2020-05-06,"Belgium","point",NA,128
"2020-04-27","10 day ahead inc death",2020-05-07,"Belgium","point",NA,123
"2020-04-27","11 day ahead inc death",2020-05-08,"Belgium","point",NA,119
"2020-04-27","12 day ahead inc death",2020-05-09,"Belgium","point",NA,114
"2020-04-27","13 day ahead inc death",2020-05-10,"Belgium","point",NA,110
"2020-04-27","14 day ahead inc death",2020-05-11,"Belgium","point",NA,106
"2020-04-27","15 day ahead inc death",2020-05-12,"Belgium","point",NA,102
"2020-04-27","16 day ahead inc death",2020-05-13,"Belgium","point",NA,98
"2020-04-27","17 day ahead inc death",2020-05-14,"Belgium","point",NA,94
"2020-04-27","18 day ahead inc death",2020-05-15,"Belgium","point",NA,91
"2020-04-27","19 day ahead inc death",2020-05-16,"Belgium","point",NA,88
"2020-04-27","20 day ahead inc death",2020-05-17,"Belgium","point",NA,85
"2020-04-27","21 day ahead inc death",2020-05-18,"Belgium","point",NA,82
"2020-04-27","22 day ahead inc death",2020-05-19,"Belgium","point",NA,79
"2020-04-27","23 day ahead inc death",2020-05-20,"Belgium","point",NA,76
"2020-04-27","24 day ahead inc death",2020-05-21,"Belgium","point",NA,73
"2020-04-27","25 day ahead inc death",2020-05-22,"Belgium","point",NA,71
"2020-04-27","26 day ahead inc death",2020-05-23,"Belgium","point",NA,68
"2020-04-27","27 day ahead inc death",2020-05-24,"Belgium","point",NA,66
"2020-04-27","28 day ahead inc death",2020-05-25,"Belgium","point",NA,64
"2020-04-27","1 day ahead inc death",2020-04-28,"Belgium","quantile",0.025,111
"2020-04-27","2 day ahead inc death",2020-04-29,"Belgium","quantile",0.025,104
"2020-04-27","3 day ahead inc death",2020-04-30,"Belgium","quantile",0.025,97
"2020-04-27","4 day ahead inc death",2020-05-01,"Belgium","quantile",0.025,90
"2020-04-27","5 day ahead inc death",2020-05-02,"Belgium","quantile",0.025,84
"2020-04-27","6 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,79
"2020-04-27","7 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,73
"2020-04-27","8 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,69
"2020-04-27","9 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,64
"2020-04-27","10 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,60
"2020-04-27","11 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,56
"2020-04-27","12 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,52
"2020-04-27","13 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,48
"2020-04-27","14 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,45
"2020-04-27","15 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,42
"2020-04-27","16 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,39
"2020-04-27","17 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,36
"2020-04-27","18 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,34
"2020-04-27","19 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,31
"2020-04-27","20 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,29
"2020-04-27","21 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,27
"2020-04-27","22 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,25
"2020-04-27","23 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,23
"2020-04-27","24 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,22
"2020-04-27","25 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,20
"2020-04-27","26 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,19
"2020-04-27","27 day ahead inc death",2020-05-24,"Belgium","quantile",0.025,17
"2020-04-27","28 day ahead inc death",2020-05-25,"Belgium","quantile",0.025,16
"2020-04-27","1 day ahead inc death",2020-04-28,"Belgium","quantile",0.975,267
"2020-04-27","2 day ahead inc death",2020-04-29,"Belgium","quantile",0.975,262
"2020-04-27","3 day ahead inc death",2020-04-30,"Belgium","quantile",0.975,259
"2020-04-27","4 day ahead inc death",2020-05-01,"Belgium","quantile",0.975,256
"2020-04-27","5 day ahead inc death",2020-05-02,"Belgium","quantile",0.975,252
"2020-04-27","6 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,249
"2020-04-27","7 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,246
"2020-04-27","8 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,241
"2020-04-27","9 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,237
"2020-04-27","10 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,232
"2020-04-27","11 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,229
"2020-04-27","12 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,228
"2020-04-27","13 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,224
"2020-04-27","14 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,221
"2020-04-27","15 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,219
"2020-04-27","16 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,217
"2020-04-27","17 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,214
"2020-04-27","18 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,212
"2020-04-27","19 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,210
"2020-04-27","20 day ahead inc death",2020-05-17,"Belgium","quantile",0.975,207
"2020-04-27","21 day ahead inc death",2020-05-18,"Belgium","quantile",0.975,205
"2020-04-27","22 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,203
"2020-04-27","23 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,201
"2020-04-27","24 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,199
"2020-04-27","25 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,198
"2020-04-27","26 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,196
"2020-04-27","27 day ahead inc death",2020-05-24,"Belgium","quantile",0.975,194
"2020-04-27","28 day ahead inc death",2020-05-25,"Belgium","quantile",0.975,191
