"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-04-25","1 day ahead inc death",2020-04-26,"Belgium","point",NA,198
"2020-04-25","2 day ahead inc death",2020-04-27,"Belgium","point",NA,190
"2020-04-25","3 day ahead inc death",2020-04-28,"Belgium","point",NA,183
"2020-04-25","4 day ahead inc death",2020-04-29,"Belgium","point",NA,176
"2020-04-25","5 day ahead inc death",2020-04-30,"Belgium","point",NA,169
"2020-04-25","6 day ahead inc death",2020-05-01,"Belgium","point",NA,163
"2020-04-25","7 day ahead inc death",2020-05-02,"Belgium","point",NA,157
"2020-04-25","8 day ahead inc death",2020-05-03,"Belgium","point",NA,151
"2020-04-25","9 day ahead inc death",2020-05-04,"Belgium","point",NA,145
"2020-04-25","10 day ahead inc death",2020-05-05,"Belgium","point",NA,140
"2020-04-25","11 day ahead inc death",2020-05-06,"Belgium","point",NA,134
"2020-04-25","12 day ahead inc death",2020-05-07,"Belgium","point",NA,130
"2020-04-25","13 day ahead inc death",2020-05-08,"Belgium","point",NA,125
"2020-04-25","14 day ahead inc death",2020-05-09,"Belgium","point",NA,120
"2020-04-25","15 day ahead inc death",2020-05-10,"Belgium","point",NA,116
"2020-04-25","16 day ahead inc death",2020-05-11,"Belgium","point",NA,112
"2020-04-25","17 day ahead inc death",2020-05-12,"Belgium","point",NA,108
"2020-04-25","18 day ahead inc death",2020-05-13,"Belgium","point",NA,104
"2020-04-25","19 day ahead inc death",2020-05-14,"Belgium","point",NA,101
"2020-04-25","20 day ahead inc death",2020-05-15,"Belgium","point",NA,97
"2020-04-25","21 day ahead inc death",2020-05-16,"Belgium","point",NA,94
"2020-04-25","22 day ahead inc death",2020-05-17,"Belgium","point",NA,91
"2020-04-25","23 day ahead inc death",2020-05-18,"Belgium","point",NA,88
"2020-04-25","24 day ahead inc death",2020-05-19,"Belgium","point",NA,85
"2020-04-25","25 day ahead inc death",2020-05-20,"Belgium","point",NA,82
"2020-04-25","26 day ahead inc death",2020-05-21,"Belgium","point",NA,79
"2020-04-25","27 day ahead inc death",2020-05-22,"Belgium","point",NA,77
"2020-04-25","28 day ahead inc death",2020-05-23,"Belgium","point",NA,74
"2020-04-25","1 day ahead inc death",2020-04-26,"Belgium","quantile",0.025,128
"2020-04-25","2 day ahead inc death",2020-04-27,"Belgium","quantile",0.025,119
"2020-04-25","3 day ahead inc death",2020-04-28,"Belgium","quantile",0.025,112
"2020-04-25","4 day ahead inc death",2020-04-29,"Belgium","quantile",0.025,106
"2020-04-25","5 day ahead inc death",2020-04-30,"Belgium","quantile",0.025,99
"2020-04-25","6 day ahead inc death",2020-05-01,"Belgium","quantile",0.025,92
"2020-04-25","7 day ahead inc death",2020-05-02,"Belgium","quantile",0.025,86
"2020-04-25","8 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,80
"2020-04-25","9 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,75
"2020-04-25","10 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,70
"2020-04-25","11 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,66
"2020-04-25","12 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,61
"2020-04-25","13 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,57
"2020-04-25","14 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,53
"2020-04-25","15 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,49
"2020-04-25","16 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,45
"2020-04-25","17 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,42
"2020-04-25","18 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,39
"2020-04-25","19 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,36
"2020-04-25","20 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,34
"2020-04-25","21 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,32
"2020-04-25","22 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,30
"2020-04-25","23 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,28
"2020-04-25","24 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,26
"2020-04-25","25 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,24
"2020-04-25","26 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,22
"2020-04-25","27 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,21
"2020-04-25","28 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,19
"2020-04-25","1 day ahead inc death",2020-04-26,"Belgium","quantile",0.975,286
"2020-04-25","2 day ahead inc death",2020-04-27,"Belgium","quantile",0.975,281
"2020-04-25","3 day ahead inc death",2020-04-28,"Belgium","quantile",0.975,276
"2020-04-25","4 day ahead inc death",2020-04-29,"Belgium","quantile",0.975,273
"2020-04-25","5 day ahead inc death",2020-04-30,"Belgium","quantile",0.975,268
"2020-04-25","6 day ahead inc death",2020-05-01,"Belgium","quantile",0.975,266
"2020-04-25","7 day ahead inc death",2020-05-02,"Belgium","quantile",0.975,264
"2020-04-25","8 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,262
"2020-04-25","9 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,259
"2020-04-25","10 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,256
"2020-04-25","11 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,254
"2020-04-25","12 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,251
"2020-04-25","13 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,249
"2020-04-25","14 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,247
"2020-04-25","15 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,245
"2020-04-25","16 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,243
"2020-04-25","17 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,240
"2020-04-25","18 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,238
"2020-04-25","19 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,236
"2020-04-25","20 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,234
"2020-04-25","21 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,231
"2020-04-25","22 day ahead inc death",2020-05-17,"Belgium","quantile",0.975,229
"2020-04-25","23 day ahead inc death",2020-05-18,"Belgium","quantile",0.975,226
"2020-04-25","24 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,224
"2020-04-25","25 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,222
"2020-04-25","26 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,219
"2020-04-25","27 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,217
"2020-04-25","28 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,214
"2020-04-25","1 wk ahead inc death",2020-04-26,"Belgium","point",NA,1236
"2020-04-25","2 wk ahead inc death",2020-05-03,"Belgium","point",NA,945
"2020-04-25","3 wk ahead inc death",2020-05-10,"Belgium","point",NA,732
"2020-04-25","4 wk ahead inc death",2020-05-17,"Belgium","point",NA,576
"2020-04-25","1 wk ahead inc death",2020-04-26,"Belgium","quantile",0.025,742
"2020-04-25","2 wk ahead inc death",2020-05-03,"Belgium","quantile",0.025,462
"2020-04-25","3 wk ahead inc death",2020-05-10,"Belgium","quantile",0.025,277
"2020-04-25","4 wk ahead inc death",2020-05-17,"Belgium","quantile",0.025,170
"2020-04-25","1 wk ahead inc death",2020-04-26,"Belgium","quantile",0.975,1914
"2020-04-25","2 wk ahead inc death",2020-05-03,"Belgium","quantile",0.975,1778
"2020-04-25","3 wk ahead inc death",2020-05-10,"Belgium","quantile",0.975,1667
"2020-04-25","4 wk ahead inc death",2020-05-17,"Belgium","quantile",0.975,1551
