"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-05-02","1 day ahead inc death",2020-05-03,"Belgium","point",NA,130
"2020-05-02","2 day ahead inc death",2020-05-04,"Belgium","point",NA,124
"2020-05-02","3 day ahead inc death",2020-05-05,"Belgium","point",NA,118
"2020-05-02","4 day ahead inc death",2020-05-06,"Belgium","point",NA,113
"2020-05-02","5 day ahead inc death",2020-05-07,"Belgium","point",NA,108
"2020-05-02","6 day ahead inc death",2020-05-08,"Belgium","point",NA,103
"2020-05-02","7 day ahead inc death",2020-05-09,"Belgium","point",NA,98
"2020-05-02","8 day ahead inc death",2020-05-10,"Belgium","point",NA,94
"2020-05-02","9 day ahead inc death",2020-05-11,"Belgium","point",NA,90
"2020-05-02","10 day ahead inc death",2020-05-12,"Belgium","point",NA,86
"2020-05-02","11 day ahead inc death",2020-05-13,"Belgium","point",NA,82
"2020-05-02","12 day ahead inc death",2020-05-14,"Belgium","point",NA,79
"2020-05-02","13 day ahead inc death",2020-05-15,"Belgium","point",NA,76
"2020-05-02","14 day ahead inc death",2020-05-16,"Belgium","point",NA,72
"2020-05-02","15 day ahead inc death",2020-05-17,"Belgium","point",NA,69
"2020-05-02","16 day ahead inc death",2020-05-18,"Belgium","point",NA,67
"2020-05-02","17 day ahead inc death",2020-05-19,"Belgium","point",NA,64
"2020-05-02","18 day ahead inc death",2020-05-20,"Belgium","point",NA,61
"2020-05-02","19 day ahead inc death",2020-05-21,"Belgium","point",NA,59
"2020-05-02","20 day ahead inc death",2020-05-22,"Belgium","point",NA,56
"2020-05-02","21 day ahead inc death",2020-05-23,"Belgium","point",NA,54
"2020-05-02","22 day ahead inc death",2020-05-24,"Belgium","point",NA,52
"2020-05-02","23 day ahead inc death",2020-05-25,"Belgium","point",NA,50
"2020-05-02","24 day ahead inc death",2020-05-26,"Belgium","point",NA,48
"2020-05-02","25 day ahead inc death",2020-05-27,"Belgium","point",NA,46
"2020-05-02","26 day ahead inc death",2020-05-28,"Belgium","point",NA,44
"2020-05-02","27 day ahead inc death",2020-05-29,"Belgium","point",NA,43
"2020-05-02","28 day ahead inc death",2020-05-30,"Belgium","point",NA,41
"2020-05-02","1 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,79
"2020-05-02","2 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,73
"2020-05-02","3 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,69
"2020-05-02","4 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,64
"2020-05-02","5 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,60
"2020-05-02","6 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,56
"2020-05-02","7 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,52
"2020-05-02","8 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,49
"2020-05-02","9 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,45
"2020-05-02","10 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,42
"2020-05-02","11 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,39
"2020-05-02","12 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,36
"2020-05-02","13 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,34
"2020-05-02","14 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,31
"2020-05-02","15 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,30
"2020-05-02","16 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,28
"2020-05-02","17 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,26
"2020-05-02","18 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,25
"2020-05-02","19 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,23
"2020-05-02","20 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,22
"2020-05-02","21 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,20
"2020-05-02","22 day ahead inc death",2020-05-24,"Belgium","quantile",0.025,19
"2020-05-02","23 day ahead inc death",2020-05-25,"Belgium","quantile",0.025,17
"2020-05-02","24 day ahead inc death",2020-05-26,"Belgium","quantile",0.025,16
"2020-05-02","25 day ahead inc death",2020-05-27,"Belgium","quantile",0.025,15
"2020-05-02","26 day ahead inc death",2020-05-28,"Belgium","quantile",0.025,14
"2020-05-02","27 day ahead inc death",2020-05-29,"Belgium","quantile",0.025,13
"2020-05-02","28 day ahead inc death",2020-05-30,"Belgium","quantile",0.025,12
"2020-05-02","1 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,213
"2020-05-02","2 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,209
"2020-05-02","3 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,203
"2020-05-02","4 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,200
"2020-05-02","5 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,195
"2020-05-02","6 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,192
"2020-05-02","7 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,189
"2020-05-02","8 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,186
"2020-05-02","9 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,182
"2020-05-02","10 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,179
"2020-05-02","11 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,176
"2020-05-02","12 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,173
"2020-05-02","13 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,170
"2020-05-02","14 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,166
"2020-05-02","15 day ahead inc death",2020-05-17,"Belgium","quantile",0.975,163
"2020-05-02","16 day ahead inc death",2020-05-18,"Belgium","quantile",0.975,160
"2020-05-02","17 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,157
"2020-05-02","18 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,154
"2020-05-02","19 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,152
"2020-05-02","20 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,149
"2020-05-02","21 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,146
"2020-05-02","22 day ahead inc death",2020-05-24,"Belgium","quantile",0.975,143
"2020-05-02","23 day ahead inc death",2020-05-25,"Belgium","quantile",0.975,140
"2020-05-02","24 day ahead inc death",2020-05-26,"Belgium","quantile",0.975,137
"2020-05-02","25 day ahead inc death",2020-05-27,"Belgium","quantile",0.975,134
"2020-05-02","26 day ahead inc death",2020-05-28,"Belgium","quantile",0.975,132
"2020-05-02","27 day ahead inc death",2020-05-29,"Belgium","quantile",0.975,129
"2020-05-02","28 day ahead inc death",2020-05-30,"Belgium","quantile",0.975,127
"2020-05-02","1 wk ahead inc death",2020-05-03,"Belgium","point",NA,794
"2020-05-02","2 wk ahead inc death",2020-05-10,"Belgium","point",NA,579
"2020-05-02","3 wk ahead inc death",2020-05-17,"Belgium","point",NA,430
"2020-05-02","4 wk ahead inc death",2020-05-24,"Belgium","point",NA,324
"2020-05-02","1 wk ahead inc death",2020-05-03,"Belgium","quantile",0.025,453
"2020-05-02","2 wk ahead inc death",2020-05-10,"Belgium","quantile",0.025,276
"2020-05-02","3 wk ahead inc death",2020-05-17,"Belgium","quantile",0.025,174
"2020-05-02","4 wk ahead inc death",2020-05-24,"Belgium","quantile",0.025,106
"2020-05-02","1 wk ahead inc death",2020-05-03,"Belgium","quantile",0.975,1401
"2020-05-02","2 wk ahead inc death",2020-05-10,"Belgium","quantile",0.975,1232
"2020-05-02","3 wk ahead inc death",2020-05-17,"Belgium","quantile",0.975,1081
"2020-05-02","4 wk ahead inc death",2020-05-24,"Belgium","quantile",0.975,942
