"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-04-20","1 day ahead inc death",2020-04-21,"Belgium","point",NA,244
"2020-04-20","2 day ahead inc death",2020-04-22,"Belgium","point",NA,233
"2020-04-20","3 day ahead inc death",2020-04-23,"Belgium","point",NA,223
"2020-04-20","4 day ahead inc death",2020-04-24,"Belgium","point",NA,213
"2020-04-20","5 day ahead inc death",2020-04-25,"Belgium","point",NA,203
"2020-04-20","6 day ahead inc death",2020-04-26,"Belgium","point",NA,194
"2020-04-20","7 day ahead inc death",2020-04-27,"Belgium","point",NA,186
"2020-04-20","8 day ahead inc death",2020-04-28,"Belgium","point",NA,177
"2020-04-20","9 day ahead inc death",2020-04-29,"Belgium","point",NA,170
"2020-04-20","10 day ahead inc death",2020-04-30,"Belgium","point",NA,162
"2020-04-20","11 day ahead inc death",2020-05-01,"Belgium","point",NA,155
"2020-04-20","12 day ahead inc death",2020-05-02,"Belgium","point",NA,149
"2020-04-20","13 day ahead inc death",2020-05-03,"Belgium","point",NA,142
"2020-04-20","14 day ahead inc death",2020-05-04,"Belgium","point",NA,136
"2020-04-20","15 day ahead inc death",2020-05-05,"Belgium","point",NA,131
"2020-04-20","16 day ahead inc death",2020-05-06,"Belgium","point",NA,125
"2020-04-20","17 day ahead inc death",2020-05-07,"Belgium","point",NA,120
"2020-04-20","18 day ahead inc death",2020-05-08,"Belgium","point",NA,115
"2020-04-20","19 day ahead inc death",2020-05-09,"Belgium","point",NA,111
"2020-04-20","20 day ahead inc death",2020-05-10,"Belgium","point",NA,106
"2020-04-20","21 day ahead inc death",2020-05-11,"Belgium","point",NA,102
"2020-04-20","22 day ahead inc death",2020-05-12,"Belgium","point",NA,98
"2020-04-20","23 day ahead inc death",2020-05-13,"Belgium","point",NA,94
"2020-04-20","24 day ahead inc death",2020-05-14,"Belgium","point",NA,91
"2020-04-20","25 day ahead inc death",2020-05-15,"Belgium","point",NA,87
"2020-04-20","26 day ahead inc death",2020-05-16,"Belgium","point",NA,84
"2020-04-20","27 day ahead inc death",2020-05-17,"Belgium","point",NA,81
"2020-04-20","28 day ahead inc death",2020-05-18,"Belgium","point",NA,78
"2020-04-20","1 day ahead inc death",2020-04-21,"Belgium","quantile",0.025,172
"2020-04-20","2 day ahead inc death",2020-04-22,"Belgium","quantile",0.025,160
"2020-04-20","3 day ahead inc death",2020-04-23,"Belgium","quantile",0.025,149
"2020-04-20","4 day ahead inc death",2020-04-24,"Belgium","quantile",0.025,136
"2020-04-20","5 day ahead inc death",2020-04-25,"Belgium","quantile",0.025,126
"2020-04-20","6 day ahead inc death",2020-04-26,"Belgium","quantile",0.025,118
"2020-04-20","7 day ahead inc death",2020-04-27,"Belgium","quantile",0.025,109
"2020-04-20","8 day ahead inc death",2020-04-28,"Belgium","quantile",0.025,100
"2020-04-20","9 day ahead inc death",2020-04-29,"Belgium","quantile",0.025,91
"2020-04-20","10 day ahead inc death",2020-04-30,"Belgium","quantile",0.025,84
"2020-04-20","11 day ahead inc death",2020-05-01,"Belgium","quantile",0.025,77
"2020-04-20","12 day ahead inc death",2020-05-02,"Belgium","quantile",0.025,71
"2020-04-20","13 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,65
"2020-04-20","14 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,60
"2020-04-20","15 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,55
"2020-04-20","16 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,51
"2020-04-20","17 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,47
"2020-04-20","18 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,43
"2020-04-20","19 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,39
"2020-04-20","20 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,36
"2020-04-20","21 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,33
"2020-04-20","22 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,31
"2020-04-20","23 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,28
"2020-04-20","24 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,26
"2020-04-20","25 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,24
"2020-04-20","26 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,23
"2020-04-20","27 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,21
"2020-04-20","28 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,19
"2020-04-20","1 day ahead inc death",2020-04-21,"Belgium","quantile",0.975,337
"2020-04-20","2 day ahead inc death",2020-04-22,"Belgium","quantile",0.975,328
"2020-04-20","3 day ahead inc death",2020-04-23,"Belgium","quantile",0.975,322
"2020-04-20","4 day ahead inc death",2020-04-24,"Belgium","quantile",0.975,316
"2020-04-20","5 day ahead inc death",2020-04-25,"Belgium","quantile",0.975,306
"2020-04-20","6 day ahead inc death",2020-04-26,"Belgium","quantile",0.975,299
"2020-04-20","7 day ahead inc death",2020-04-27,"Belgium","quantile",0.975,294
"2020-04-20","8 day ahead inc death",2020-04-28,"Belgium","quantile",0.975,290
"2020-04-20","9 day ahead inc death",2020-04-29,"Belgium","quantile",0.975,284
"2020-04-20","10 day ahead inc death",2020-04-30,"Belgium","quantile",0.975,276
"2020-04-20","11 day ahead inc death",2020-05-01,"Belgium","quantile",0.975,271
"2020-04-20","12 day ahead inc death",2020-05-02,"Belgium","quantile",0.975,266
"2020-04-20","13 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,262
"2020-04-20","14 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,257
"2020-04-20","15 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,252
