"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-05-11","1 day ahead inc death",2020-05-12,"Belgium","point",NA,77
"2020-05-11","2 day ahead inc death",2020-05-13,"Belgium","point",NA,73
"2020-05-11","3 day ahead inc death",2020-05-14,"Belgium","point",NA,70
"2020-05-11","4 day ahead inc death",2020-05-15,"Belgium","point",NA,66
"2020-05-11","5 day ahead inc death",2020-05-16,"Belgium","point",NA,63
"2020-05-11","6 day ahead inc death",2020-05-17,"Belgium","point",NA,60
"2020-05-11","7 day ahead inc death",2020-05-18,"Belgium","point",NA,57
"2020-05-11","8 day ahead inc death",2020-05-19,"Belgium","point",NA,54
"2020-05-11","9 day ahead inc death",2020-05-20,"Belgium","point",NA,51
"2020-05-11","10 day ahead inc death",2020-05-21,"Belgium","point",NA,49
"2020-05-11","11 day ahead inc death",2020-05-22,"Belgium","point",NA,47
"2020-05-11","12 day ahead inc death",2020-05-23,"Belgium","point",NA,44
"2020-05-11","13 day ahead inc death",2020-05-24,"Belgium","point",NA,42
"2020-05-11","14 day ahead inc death",2020-05-25,"Belgium","point",NA,40
"2020-05-11","15 day ahead inc death",2020-05-26,"Belgium","point",NA,38
"2020-05-11","16 day ahead inc death",2020-05-27,"Belgium","point",NA,37
"2020-05-11","17 day ahead inc death",2020-05-28,"Belgium","point",NA,35
"2020-05-11","18 day ahead inc death",2020-05-29,"Belgium","point",NA,33
"2020-05-11","19 day ahead inc death",2020-05-30,"Belgium","point",NA,32
"2020-05-11","20 day ahead inc death",2020-05-31,"Belgium","point",NA,31
"2020-05-11","21 day ahead inc death",2020-06-01,"Belgium","point",NA,29
"2020-05-11","22 day ahead inc death",2020-06-02,"Belgium","point",NA,28
"2020-05-11","23 day ahead inc death",2020-06-03,"Belgium","point",NA,27
"2020-05-11","24 day ahead inc death",2020-06-04,"Belgium","point",NA,26
"2020-05-11","25 day ahead inc death",2020-06-05,"Belgium","point",NA,25
"2020-05-11","26 day ahead inc death",2020-06-06,"Belgium","point",NA,25
"2020-05-11","27 day ahead inc death",2020-06-07,"Belgium","point",NA,24
"2020-05-11","28 day ahead inc death",2020-06-08,"Belgium","point",NA,23
"2020-05-11","1 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,34
"2020-05-11","2 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,32
"2020-05-11","3 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,29
"2020-05-11","4 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,26
"2020-05-11","5 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,24
"2020-05-11","6 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,22
"2020-05-11","7 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,20
"2020-05-11","8 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,18
"2020-05-11","9 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,17
"2020-05-11","10 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,16
"2020-05-11","11 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,15
"2020-05-11","12 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,13
"2020-05-11","13 day ahead inc death",2020-05-24,"Belgium","quantile",0.025,12
"2020-05-11","14 day ahead inc death",2020-05-25,"Belgium","quantile",0.025,11
"2020-05-11","15 day ahead inc death",2020-05-26,"Belgium","quantile",0.025,11
"2020-05-11","16 day ahead inc death",2020-05-27,"Belgium","quantile",0.025,10
"2020-05-11","17 day ahead inc death",2020-05-28,"Belgium","quantile",0.025,9
"2020-05-11","18 day ahead inc death",2020-05-29,"Belgium","quantile",0.025,8
"2020-05-11","19 day ahead inc death",2020-05-30,"Belgium","quantile",0.025,7
"2020-05-11","20 day ahead inc death",2020-05-31,"Belgium","quantile",0.025,7
"2020-05-11","21 day ahead inc death",2020-06-01,"Belgium","quantile",0.025,7
"2020-05-11","22 day ahead inc death",2020-06-02,"Belgium","quantile",0.025,6
"2020-05-11","23 day ahead inc death",2020-06-03,"Belgium","quantile",0.025,6
"2020-05-11","24 day ahead inc death",2020-06-04,"Belgium","quantile",0.025,5
"2020-05-11","25 day ahead inc death",2020-06-05,"Belgium","quantile",0.025,5
"2020-05-11","26 day ahead inc death",2020-06-06,"Belgium","quantile",0.025,5
"2020-05-11","27 day ahead inc death",2020-06-07,"Belgium","quantile",0.025,4
"2020-05-11","28 day ahead inc death",2020-06-08,"Belgium","quantile",0.025,4
"2020-05-11","1 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,142
"2020-05-11","2 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,138
"2020-05-11","3 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,134
