"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-05-04","1 day ahead inc death",2020-05-05,"Belgium","point",NA,114
"2020-05-04","2 day ahead inc death",2020-05-06,"Belgium","point",NA,109
"2020-05-04","3 day ahead inc death",2020-05-07,"Belgium","point",NA,104
"2020-05-04","4 day ahead inc death",2020-05-08,"Belgium","point",NA,99
"2020-05-04","5 day ahead inc death",2020-05-09,"Belgium","point",NA,95
"2020-05-04","6 day ahead inc death",2020-05-10,"Belgium","point",NA,90
"2020-05-04","7 day ahead inc death",2020-05-11,"Belgium","point",NA,86
"2020-05-04","8 day ahead inc death",2020-05-12,"Belgium","point",NA,82
"2020-05-04","9 day ahead inc death",2020-05-13,"Belgium","point",NA,79
"2020-05-04","10 day ahead inc death",2020-05-14,"Belgium","point",NA,75
"2020-05-04","11 day ahead inc death",2020-05-15,"Belgium","point",NA,72
"2020-05-04","12 day ahead inc death",2020-05-16,"Belgium","point",NA,69
"2020-05-04","13 day ahead inc death",2020-05-17,"Belgium","point",NA,66
"2020-05-04","14 day ahead inc death",2020-05-18,"Belgium","point",NA,63
"2020-05-04","15 day ahead inc death",2020-05-19,"Belgium","point",NA,60
"2020-05-04","16 day ahead inc death",2020-05-20,"Belgium","point",NA,58
"2020-05-04","17 day ahead inc death",2020-05-21,"Belgium","point",NA,55
"2020-05-04","18 day ahead inc death",2020-05-22,"Belgium","point",NA,53
"2020-05-04","19 day ahead inc death",2020-05-23,"Belgium","point",NA,51
"2020-05-04","20 day ahead inc death",2020-05-24,"Belgium","point",NA,49
"2020-05-04","21 day ahead inc death",2020-05-25,"Belgium","point",NA,47
"2020-05-04","22 day ahead inc death",2020-05-26,"Belgium","point",NA,45
"2020-05-04","23 day ahead inc death",2020-05-27,"Belgium","point",NA,43
"2020-05-04","24 day ahead inc death",2020-05-28,"Belgium","point",NA,41
"2020-05-04","25 day ahead inc death",2020-05-29,"Belgium","point",NA,40
"2020-05-04","26 day ahead inc death",2020-05-30,"Belgium","point",NA,38
"2020-05-04","27 day ahead inc death",2020-05-31,"Belgium","point",NA,37
"2020-05-04","28 day ahead inc death",2020-06-01,"Belgium","point",NA,35
"2020-05-04","1 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,69
"2020-05-04","2 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,64
"2020-05-04","3 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,60
"2020-05-04","4 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,56
"2020-05-04","5 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,52
"2020-05-04","6 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,49
"2020-05-04","7 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,45
"2020-05-04","8 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,42
"2020-05-04","9 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,39
"2020-05-04","10 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,36
"2020-05-04","11 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,34
"2020-05-04","12 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,31
"2020-05-04","13 day ahead inc death",2020-05-17,"Belgium","quantile",0.025,29
"2020-05-04","14 day ahead inc death",2020-05-18,"Belgium","quantile",0.025,27
"2020-05-04","15 day ahead inc death",2020-05-19,"Belgium","quantile",0.025,26
"2020-05-04","16 day ahead inc death",2020-05-20,"Belgium","quantile",0.025,24
"2020-05-04","17 day ahead inc death",2020-05-21,"Belgium","quantile",0.025,22
"2020-05-04","18 day ahead inc death",2020-05-22,"Belgium","quantile",0.025,21
"2020-05-04","19 day ahead inc death",2020-05-23,"Belgium","quantile",0.025,20
"2020-05-04","20 day ahead inc death",2020-05-24,"Belgium","quantile",0.025,18
"2020-05-04","21 day ahead inc death",2020-05-25,"Belgium","quantile",0.025,17
"2020-05-04","22 day ahead inc death",2020-05-26,"Belgium","quantile",0.025,16
"2020-05-04","23 day ahead inc death",2020-05-27,"Belgium","quantile",0.025,15
"2020-05-04","24 day ahead inc death",2020-05-28,"Belgium","quantile",0.025,14
"2020-05-04","25 day ahead inc death",2020-05-29,"Belgium","quantile",0.025,13
"2020-05-04","26 day ahead inc death",2020-05-30,"Belgium","quantile",0.025,12
"2020-05-04","27 day ahead inc death",2020-05-31,"Belgium","quantile",0.025,11
"2020-05-04","28 day ahead inc death",2020-06-01,"Belgium","quantile",0.025,11
"2020-05-04","1 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,193
"2020-05-04","2 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,189
"2020-05-04","3 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,185
"2020-05-04","4 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,180
"2020-05-04","5 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,176
"2020-05-04","6 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,173
"2020-05-04","7 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,170
"2020-05-04","8 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,166
"2020-05-04","9 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,162
"2020-05-04","10 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,160
"2020-05-04","11 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,157
"2020-05-04","12 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,152
"2020-05-04","13 day ahead inc death",2020-05-17,"Belgium","quantile",0.975,148
"2020-05-04","14 day ahead inc death",2020-05-18,"Belgium","quantile",0.975,146
"2020-05-04","15 day ahead inc death",2020-05-19,"Belgium","quantile",0.975,143
"2020-05-04","16 day ahead inc death",2020-05-20,"Belgium","quantile",0.975,139
"2020-05-04","17 day ahead inc death",2020-05-21,"Belgium","quantile",0.975,136
"2020-05-04","18 day ahead inc death",2020-05-22,"Belgium","quantile",0.975,134
"2020-05-04","19 day ahead inc death",2020-05-23,"Belgium","quantile",0.975,130
"2020-05-04","20 day ahead inc death",2020-05-24,"Belgium","quantile",0.975,128
"2020-05-04","21 day ahead inc death",2020-05-25,"Belgium","quantile",0.975,125
"2020-05-04","22 day ahead inc death",2020-05-26,"Belgium","quantile",0.975,123
