"forecast_date","target","target_end_date","location","type","quantile","value"
"2020-04-18","1 day ahead inc death",2020-04-19,"Belgium","point",NA,298
"2020-04-18","2 day ahead inc death",2020-04-20,"Belgium","point",NA,291
"2020-04-18","3 day ahead inc death",2020-04-21,"Belgium","point",NA,284
"2020-04-18","4 day ahead inc death",2020-04-22,"Belgium","point",NA,277
"2020-04-18","5 day ahead inc death",2020-04-23,"Belgium","point",NA,270
"2020-04-18","6 day ahead inc death",2020-04-24,"Belgium","point",NA,263
"2020-04-18","7 day ahead inc death",2020-04-25,"Belgium","point",NA,256
"2020-04-18","8 day ahead inc death",2020-04-26,"Belgium","point",NA,249
"2020-04-18","9 day ahead inc death",2020-04-27,"Belgium","point",NA,242
"2020-04-18","10 day ahead inc death",2020-04-28,"Belgium","point",NA,236
"2020-04-18","11 day ahead inc death",2020-04-29,"Belgium","point",NA,229
"2020-04-18","12 day ahead inc death",2020-04-30,"Belgium","point",NA,223
"2020-04-18","13 day ahead inc death",2020-05-01,"Belgium","point",NA,217
"2020-04-18","14 day ahead inc death",2020-05-02,"Belgium","point",NA,211
"2020-04-18","15 day ahead inc death",2020-05-03,"Belgium","point",NA,206
"2020-04-18","16 day ahead inc death",2020-05-04,"Belgium","point",NA,200
"2020-04-18","17 day ahead inc death",2020-05-05,"Belgium","point",NA,195
"2020-04-18","18 day ahead inc death",2020-05-06,"Belgium","point",NA,189
"2020-04-18","19 day ahead inc death",2020-05-07,"Belgium","point",NA,184
"2020-04-18","20 day ahead inc death",2020-05-08,"Belgium","point",NA,179
"2020-04-18","21 day ahead inc death",2020-05-09,"Belgium","point",NA,174
"2020-04-18","22 day ahead inc death",2020-05-10,"Belgium","point",NA,169
"2020-04-18","23 day ahead inc death",2020-05-11,"Belgium","point",NA,165
"2020-04-18","24 day ahead inc death",2020-05-12,"Belgium","point",NA,160
"2020-04-18","25 day ahead inc death",2020-05-13,"Belgium","point",NA,156
"2020-04-18","26 day ahead inc death",2020-05-14,"Belgium","point",NA,151
"2020-04-18","27 day ahead inc death",2020-05-15,"Belgium","point",NA,147
"2020-04-18","28 day ahead inc death",2020-05-16,"Belgium","point",NA,143
"2020-04-18","1 day ahead inc death",2020-04-19,"Belgium","quantile",0.025,241
"2020-04-18","2 day ahead inc death",2020-04-20,"Belgium","quantile",0.025,234
"2020-04-18","3 day ahead inc death",2020-04-21,"Belgium","quantile",0.025,225
"2020-04-18","4 day ahead inc death",2020-04-22,"Belgium","quantile",0.025,214
"2020-04-18","5 day ahead inc death",2020-04-23,"Belgium","quantile",0.025,205
"2020-04-18","6 day ahead inc death",2020-04-24,"Belgium","quantile",0.025,197
"2020-04-18","7 day ahead inc death",2020-04-25,"Belgium","quantile",0.025,188
"2020-04-18","8 day ahead inc death",2020-04-26,"Belgium","quantile",0.025,179
"2020-04-18","9 day ahead inc death",2020-04-27,"Belgium","quantile",0.025,171
"2020-04-18","10 day ahead inc death",2020-04-28,"Belgium","quantile",0.025,163
"2020-04-18","11 day ahead inc death",2020-04-29,"Belgium","quantile",0.025,156
"2020-04-18","12 day ahead inc death",2020-04-30,"Belgium","quantile",0.025,150
"2020-04-18","13 day ahead inc death",2020-05-01,"Belgium","quantile",0.025,143
"2020-04-18","14 day ahead inc death",2020-05-02,"Belgium","quantile",0.025,136
"2020-04-18","15 day ahead inc death",2020-05-03,"Belgium","quantile",0.025,131
"2020-04-18","16 day ahead inc death",2020-05-04,"Belgium","quantile",0.025,124
"2020-04-18","17 day ahead inc death",2020-05-05,"Belgium","quantile",0.025,118
"2020-04-18","18 day ahead inc death",2020-05-06,"Belgium","quantile",0.025,113
"2020-04-18","19 day ahead inc death",2020-05-07,"Belgium","quantile",0.025,107
"2020-04-18","20 day ahead inc death",2020-05-08,"Belgium","quantile",0.025,103
"2020-04-18","21 day ahead inc death",2020-05-09,"Belgium","quantile",0.025,98
"2020-04-18","22 day ahead inc death",2020-05-10,"Belgium","quantile",0.025,93
"2020-04-18","23 day ahead inc death",2020-05-11,"Belgium","quantile",0.025,89
"2020-04-18","24 day ahead inc death",2020-05-12,"Belgium","quantile",0.025,85
"2020-04-18","25 day ahead inc death",2020-05-13,"Belgium","quantile",0.025,81
"2020-04-18","26 day ahead inc death",2020-05-14,"Belgium","quantile",0.025,77
"2020-04-18","27 day ahead inc death",2020-05-15,"Belgium","quantile",0.025,74
"2020-04-18","28 day ahead inc death",2020-05-16,"Belgium","quantile",0.025,70
"2020-04-18","1 day ahead inc death",2020-04-19,"Belgium","quantile",0.975,378
"2020-04-18","2 day ahead inc death",2020-04-20,"Belgium","quantile",0.975,372
"2020-04-18","3 day ahead inc death",2020-04-21,"Belgium","quantile",0.975,366
"2020-04-18","4 day ahead inc death",2020-04-22,"Belgium","quantile",0.975,359
"2020-04-18","5 day ahead inc death",2020-04-23,"Belgium","quantile",0.975,352
"2020-04-18","6 day ahead inc death",2020-04-24,"Belgium","quantile",0.975,346
"2020-04-18","7 day ahead inc death",2020-04-25,"Belgium","quantile",0.975,338
"2020-04-18","8 day ahead inc death",2020-04-26,"Belgium","quantile",0.975,334
"2020-04-18","9 day ahead inc death",2020-04-27,"Belgium","quantile",0.975,328
"2020-04-18","10 day ahead inc death",2020-04-28,"Belgium","quantile",0.975,324
"2020-04-18","11 day ahead inc death",2020-04-29,"Belgium","quantile",0.975,318
"2020-04-18","12 day ahead inc death",2020-04-30,"Belgium","quantile",0.975,314
"2020-04-18","13 day ahead inc death",2020-05-01,"Belgium","quantile",0.975,310
"2020-04-18","14 day ahead inc death",2020-05-02,"Belgium","quantile",0.975,304
"2020-04-18","15 day ahead inc death",2020-05-03,"Belgium","quantile",0.975,299
"2020-04-18","16 day ahead inc death",2020-05-04,"Belgium","quantile",0.975,293
"2020-04-18","17 day ahead inc death",2020-05-05,"Belgium","quantile",0.975,289
"2020-04-18","18 day ahead inc death",2020-05-06,"Belgium","quantile",0.975,284
"2020-04-18","19 day ahead inc death",2020-05-07,"Belgium","quantile",0.975,278
"2020-04-18","20 day ahead inc death",2020-05-08,"Belgium","quantile",0.975,273
"2020-04-18","21 day ahead inc death",2020-05-09,"Belgium","quantile",0.975,269
"2020-04-18","22 day ahead inc death",2020-05-10,"Belgium","quantile",0.975,265
"2020-04-18","23 day ahead inc death",2020-05-11,"Belgium","quantile",0.975,261
"2020-04-18","24 day ahead inc death",2020-05-12,"Belgium","quantile",0.975,258
"2020-04-18","25 day ahead inc death",2020-05-13,"Belgium","quantile",0.975,254
"2020-04-18","26 day ahead inc death",2020-05-14,"Belgium","quantile",0.975,249
"2020-04-18","27 day ahead inc death",2020-05-15,"Belgium","quantile",0.975,244
"2020-04-18","28 day ahead inc death",2020-05-16,"Belgium","quantile",0.975,239
"2020-04-18","1 wk ahead inc death",2020-04-19,"Belgium","point",NA,1939
"2020-04-18","2 wk ahead inc death",2020-04-26,"Belgium","point",NA,1607
"2020-04-18","3 wk ahead inc death",2020-05-03,"Belgium","point",NA,1327
"2020-04-18","4 wk ahead inc death",2020-05-10,"Belgium","point",NA,1091
"2020-04-18","1 wk ahead inc death",2020-04-19,"Belgium","quantile",0.025,1504
"2020-04-18","2 wk ahead inc death",2020-04-26,"Belgium","quantile",0.025,1098
"2020-04-18","3 wk ahead inc death",2020-05-03,"Belgium","quantile",0.025,794
"2020-04-18","4 wk ahead inc death",2020-05-10,"Belgium","quantile",0.025,569
"2020-04-18","1 wk ahead inc death",2020-04-19,"Belgium","quantile",0.975,2511
"2020-04-18","2 wk ahead inc death",2020-04-26,"Belgium","quantile",0.975,2232
"2020-04-18","3 wk ahead inc death",2020-05-03,"Belgium","quantile",0.975,1985
"2020-04-18","4 wk ahead inc death",2020-05-10,"Belgium","quantile",0.975,1770
